---------------------------------------------
1 ROUGE-2 Eval D1015-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1016-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1017-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1018-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1019-A.M.100.D.1 R:0.03390 P:0.04651 F:0.03922
1 ROUGE-2 Eval D1020-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1021-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1022-A.M.100.D.1 R:0.08085 P:0.08962 F:0.08501
1 ROUGE-2 Eval D1023-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1024-A.M.100.E.1 R:0.00847 P:0.01220 F:0.01000
1 ROUGE-2 Eval D1025-A.M.100.E.1 R:0.01802 P:0.02273 F:0.02010
1 ROUGE-2 Eval D1026-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1027-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1028-A.M.100.E.1 R:0.05508 P:0.17105 F:0.08333
1 ROUGE-2 Eval D1029-A.M.100.F.1 R:0.01271 P:0.02027 F:0.01562
1 ROUGE-2 Eval D1030-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1031-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1032-A.M.100.F.1 R:0.07752 P:0.09259 F:0.08439
1 ROUGE-2 Eval D1033-A.M.100.F.1 R:0.02521 P:0.03659 F:0.02985
1 ROUGE-2 Eval D1034-A.M.100.F.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1035-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1036-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1037-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1038-A.M.100.G.1 R:0.00398 P:0.00735 F:0.00516
1 ROUGE-2 Eval D1039-A.M.100.G.1 R:0.04149 P:0.06098 F:0.04938
1 ROUGE-2 Eval D1040-A.M.100.G.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-2 Eval D1041-A.M.100.H.1 R:0.00400 P:0.00556 F:0.00465
1 ROUGE-2 Eval D1042-A.M.100.H.1 R:0.03196 P:0.04268 F:0.03655
1 ROUGE-2 Eval D1043-A.M.100.H.1 R:0.02586 P:0.03750 F:0.03061
1 ROUGE-2 Eval D1044-A.M.100.H.1 R:0.00429 P:0.00490 F:0.00457
1 ROUGE-2 Eval D1045-A.M.100.H.1 R:0.03600 P:0.03879 F:0.03734
1 ROUGE-2 Eval D1046-A.M.100.H.1 R:0.04800 P:0.05556 F:0.05150
---------------------------------------------
1 ROUGE-3 Average_R: 0.00411 (95%-conf.int. 0.00156 - 0.00718)
1 ROUGE-3 Average_P: 0.01393 (95%-conf.int. 0.00279 - 0.03192)
1 ROUGE-3 Average_F: 0.00507 (95%-conf.int. 0.00195 - 0.00896)
.............................................
1 ROUGE-3 Eval D1001-A.M.100.A.1 R:0.00851 P:0.01786 F:0.01153
1 ROUGE-3 Eval D1002-A.M.100.A.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1003-A.M.100.A.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1004-A.M.100.A.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1005-A.M.100.A.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1006-A.M.100.A.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1007-A.M.100.B.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1008-A.M.100.B.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1009-A.M.100.B.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1010-A.M.100.B.1 R:0.04132 P:0.08333 F:0.05525
1 ROUGE-3 Eval D1011-A.M.100.C.1 R:0.01339 P:0.37500 F:0.02586
1 ROUGE-3 Eval D1012-A.M.100.C.1 R:0.02941 P:0.02869 F:0.02905
1 ROUGE-3 Eval D1013-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1014-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1015-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1016-A.M.100.C.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1017-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1018-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1019-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1020-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1021-A.M.100.D.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1022-A.M.100.D.1 R:0.02597 P:0.02885 F:0.02733
1 ROUGE-3 Eval D1023-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1024-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
1 ROUGE-3 Eval D1025-A.M.100.E.1 R:0.00000 P:0.00000 F:0.00000
